GCA_010015735.1,Aaosphaeria arxii CBS 175.79,Dothideomycetes,Pleosporales,Pleosporales incertae sedis,Aaosphaeria,Aaosphaeria arxii,
GCA_014904845.1,Acephala macrosclerotiorum,Leotiomycetes,Helotiales,Mollisiaceae,Acephala,,
GCA_000222935.2,Aciculosporium take MAFF-241224,Sordariomycetes,Hypocreales,Clavicipitaceae,Aciculosporium,Aciculosporium take,
GCA_001572075.1,Acidomyces sp. 'richmondensis',Dothideomycetes,Mycosphaerellales,Teratosphaeriaceae,Acidomyces,unclassified Acidomyces,
GCA_001592465.1,Acidomyces richmondensis BFW,Dothideomycetes,Mycosphaerellales,Teratosphaeriaceae,Acidomyces,Acidomyces sp. 'richmondensis',
GCA_003545705.1,Acidomyces sp. 'richmondensis',Dothideomycetes,Mycosphaerellales,Teratosphaeriaceae,Acidomyces,unclassified Acidomyces,
GCA_000769265.1,Acremonium chrysogenum ATCC 11550,Sordariomycetes,Hypocreales,Hypocreales incertae sedis,Acremonium,Acremonium chrysogenum,
GCA_004216415.1,Aeminium ludgeri,Dothideomycetes,Capnodiales,Capnodiales incertae sedis,Aeminium,,
GCA_001636795.1,Akanthomyces lecanii RCEF 1005,Sordariomycetes,Hypocreales,Cordycipitaceae,Akanthomyces,Akanthomyces lecanii,
GCA_001653215.1,Akanthomyces lecanii,Sordariomycetes,Hypocreales,Cordycipitaceae,Akanthomyces,,
GCA_016170065.1,Akanthomyces lecanii,Sordariomycetes,Hypocreales,Cordycipitaceae,Akanthomyces,,
GCA_001600555.1,Albophoma yamanashiensis,Sordariomycetes,Hypocreales,Ophiocordycipitaceae,Albophoma,,
GCA_008973795.1,Alternaria gansuensis,Dothideomycetes,Pleosporales,Pleosporaceae,Alternaria,,
GCA_009289805.1,Alternaria gansuensis,Dothideomycetes,Pleosporales,Pleosporaceae,Alternaria,,
GCA_009932595.1,Alternaria alternata,Dothideomycetes,Pleosporales,Pleosporaceae,Alternaria,Alternaria alternata complex,
GCA_011420255.1,Alternaria alternata,Dothideomycetes,Pleosporales,Pleosporaceae,Alternaria,Alternaria alternata complex,
GCA_011420445.1,Alternaria alternata,Dothideomycetes,Pleosporales,Pleosporaceae,Alternaria,Alternaria alternata complex,
GCA_011420565.1,Alternaria alternata,Dothideomycetes,Pleosporales,Pleosporaceae,Alternaria,Alternaria alternata complex,
GCA_013036055.1,Alternaria burnsii,Dothideomycetes,Pleosporales,Pleosporaceae,Alternaria,Alternaria sect. Alternaria,
GCA_013282825.1,Alternaria arborescens,Dothideomycetes,Pleosporales,Pleosporaceae,Alternaria,Alternaria sect. Alternaria,
GCA_014154925.1,Alternaria alternata,Dothideomycetes,Pleosporales,Pleosporaceae,Alternaria,Alternaria alternata complex,
GCA_014751505.1,Alternaria alternata,Dothideomycetes,Pleosporales,Pleosporaceae,Alternaria,Alternaria alternata complex,
